1,牛仔裤,李维斯,2023-07-15,501,40.0,80.0,100
2,运动鞋,耐克,2023-06-20,Air-Max-270,80.0,150.0,50
3,T恤,阿迪达斯,2023-08-05,Originals-Logo,20.0,40.0,0
4,手提包,女士,2023-05-10,Classic-Tote,60.0,120.0,30
5,钢笔,水曜社,2023-04-03,Alpha-Gel,15.0,30.0,80
6,咖啡机,美国宾得,2023-03-28,BrewSense,100.0,180.0,15
7,婴儿推车,希巴奇,2023-07-08,City-Mini-GT,150.0,280.0,10
8,玩具积木,乐高,2023-06-12,Classic-Creative-Box,25.0,50.0,120
9,珠宝项链,蒂芙尼,2023-08-18,Heart-Tag,200.0,400.0,8
10,厨房刀具,德国双刃刀,2023-04-22,Chefs-Essentials-Set,50.0,100.0,25
11,手机,小米,2023-05-10,MI-12,800.0,1200.0,50
12,电视,创维,2023-04-20,CW-55,500.0,800.0,30
13,冰箱,海尔,2023-03-15,HR-220,700.0,1100.0,20
14,洗衣机,松下,2023-05-02,PA-40,400.0,650.0,25
15,笔记本电脑,戴尔,2023-06-08,DE-15,1000.0,1500.0,15
16,智能手表,联想,2023-04-18,LP-Watch,300.0,500.0,40
17,空调,格力,2023-03-30,GL-AC,600.0,1000.0,18
18,音响,索尼,2023-05-25,SN-S10,200.0,350.0,50
19,微波炉,三星,2023-04-12,SS-MW,150.0,250.0,10
20,洗碗机,西门子,2023-03-08,SM-DW,450.0,700.0,12
